CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F996,F997,F998,F999,F1000,F1001,F2384,F323339,
24314,E01005189,Manchester 017D,Lower Super Output Areas and Data Zones,LSOADZ,826,153,267,273,115,18,1691,2636,
24315,E01005190,Manchester 017E,Lower Super Output Areas and Data Zones,LSOADZ,881,230,308,228,107,8,2017,1397,
24316,E01005191,Manchester 021C,Lower Super Output Areas and Data Zones,LSOADZ,800,187,273,223,111,6,1657,1268,
24317,E01005192,Manchester 021D,Lower Super Output Areas and Data Zones,LSOADZ,679,220,240,152,56,11,1584,1112,
24318,E01005193,Manchester 021E,Lower Super Output Areas and Data Zones,LSOADZ,818,278,287,185,62,6,1798,1227,
24319,E01005194,Manchester 027A,Lower Super Output Areas and Data Zones,LSOADZ,940,240,315,253,117,15,2589,2239,
24320,E01005195,Manchester 023A,Lower Super Output Areas and Data Zones,LSOADZ,735,182,236,229,78,10,1986,1583,
24321,E01005196,Manchester 023B,Lower Super Output Areas and Data Zones,LSOADZ,894,252,283,229,119,11,2376,1930,
24322,E01005197,Manchester 023C,Lower Super Output Areas and Data Zones,LSOADZ,697,171,227,201,86,12,1566,1389,
24323,E01005198,Manchester 023D,Lower Super Output Areas and Data Zones,LSOADZ,649,142,208,190,96,13,1570,1177,
24324,E01005199,Manchester 027B,Lower Super Output Areas and Data Zones,LSOADZ,895,313,299,212,65,6,2273,1549,
24325,E01005200,Manchester 027C,Lower Super Output Areas and Data Zones,LSOADZ,764,259,246,179,75,5,1831,1551,
24326,E01005201,Manchester 023E,Lower Super Output Areas and Data Zones,LSOADZ,816,204,299,216,82,15,2016,1657,
24327,E01005202,Manchester 009A,Lower Super Output Areas and Data Zones,LSOADZ,783,134,254,233,148,14,1778,2693,
24328,E01005203,Manchester 009B,Lower Super Output Areas and Data Zones,LSOADZ,927,171,260,317,170,9,1905,1612,
24329,E01005205,Manchester 006B,Lower Super Output Areas and Data Zones,LSOADZ,937,196,302,294,132,13,1987,2731,
24330,E01005206,Manchester 006C,Lower Super Output Areas and Data Zones,LSOADZ,747,234,267,165,68,13,1693,1363,
24331,E01005207,Manchester 006D,Lower Super Output Areas and Data Zones,LSOADZ,817,239,304,192,75,7,1915,1233,
